Release 6.1.03i - Par G.26
Copyright (c) 1995-2003 Xilinx, Inc.  All rights reserved.

Sun Nov 26 05:49:15 2006


NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The ,
character is used as the data field separator. This file is also designed
to support parsing.

INPUT FILE:       pub_map.ncd
OUTPUT FILE:      pub_pad.csv
PART TYPE:        xc2s100
SPEED GRADE:      -5
PACKAGE:          tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,
P1,,,VCCO,,,0,,,,,na,,
P2,,,TCK,,,,,,,,,,
P3,,IOB,,UNUSED,,0,,,,,,,
P4,,IOB,,UNUSED,,0,,,,,,,
P5,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,
P6,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,
P7,,IOB,,UNUSED,,0,,,,,,,
P8,,,GND,,,,,,,,,,
P9,,,VCCINT,,,,,,,,2.5,,
P10,,IOB,,UNUSED,,0,,,,,,,
P11,,IOB,,UNUSED,,0,,,,,,,
P12,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,
P13,,IOB,,UNUSED,,0,,,,,,,
P14,,,VCCINT,,,,,,,,2.5,,
P15,CLK16M,GCLKIOB,GCK3,INPUT,LVTTL,0,,,,,,LOCATED,
P16,,,VCCO,,,0,,,,,na,,
P17,,,GND,,,,,,,,,,
P39,,IOB,IO_DIN_D0,UNUSED,,(1,2)***,,,,,,,
P40,TPCM<3>,IOB,,BIDIR,LVTTL,(1,2)***,24,SLOW,NONE**,NONE,,LOCATED,
P41,HSSC,IOB,IO_VREF_2,INPUT,LVTTL,(1,2)***,,,,NONE,,LOCATED,
P42,EIRQn,IOB,,INPUT,LVTTL,(1,2)***,,,,NONE,,LOCATED,
P43,RPCM<3>,IOB,IO_VREF_2,INPUT,LVTTL,(1,2)***,,,,NONE,,LOCATED,
P44,RPCM<1>,IOB,IO_D1,INPUT,LVTTL,(1,2)***,,,,NONE,,LOCATED,
P45,,,GND,,,,,,,,,,
P46,RPCM<0>,IOB,IO_D2,INPUT,LVTTL,(1,2)***,,,,NONE,,LOCATED,
P47,RPCM<2>,IOB,,INPUT,LVTTL,(1,2)***,,,,NONE,,LOCATED,
P48,,IOB,IO_VREF_2,UNUSED,,(1,2)***,,,,,,,
P49,TPCM<2>,IOB,IO_D3,BIDIR,LVTTL,(1,2)***,24,SLOW,NONE**,NONE,,LOCATED,
P50,TPCM<0>,IOB,,BIDIR,LVTTL,(1,2)***,24,SLOW,NONE**,NONE,,LOCATED,
P51,,PCIIOB,IO_IRDY,UNUSED,,(1,2)***,,,,,,,
P52,,,GND,,,,,,,,,,
P53,,,VCCO,,,1,,,,,3.30,,
P54,,PCIIOB,IO_TRDY,UNUSED,,(1,3)***,,,,,,,
P55,,,VCCINT,,,,,,,,2.5,,
P56,TPCM<1>,IOB,,BIDIR,LVTTL,(1,3)***,24,SLOW,NONE**,NONE,,LOCATED,
P57,FCC,IOB,IO_D4,BIDIR,LVTTL,(1,3)***,24,FAST,NONE**,NONE,,LOCATED,
P58,FCEn,IOB,IO_VREF_3,BIDIR,LVTTL,(1,3)***,24,FAST,NONE**,NONE,,LOCATED,
P59,SENSEn,IOB,,INPUT,LVTTL,(1,3)***,,,,NONE,,LOCATED,
P60,FCD,IOB,IO_D5,BIDIR,LVTTL,(1,3)***,24,FAST,NONE**,IFD,,LOCATED,
P61,,,GND,,,,,,,,,,
P62,SYNC2,IOB,IO_D6,TRISTATE,LVTTL,(1,3)***,24,FAST,NONE**,,,LOCATED,
P63,CLK8M,IOB,IO_VREF_3,BIDIR,LVTTL,(1,3)***,24,FAST,NONE**,NONE,,LOCATED,
P64,TSYNC,IOB,,INPUT,LVTTL,(1,3)***,,,,NONE,,LOCATED,
P65,SYNC4,IOB,IO_VREF_3,BIDIR,LVTTL,(1,3)***,24,FAST,NONE**,NONE,,LOCATED,
P66,,IOB,,UNUSED,,(1,3)***,,,,,,,
P67,,IOB,IO_D7,UNUSED,,(1,3)***,,,,,,,
P68,,IOB,IO_INIT,UNUSED,,(1,3)***,,,,,,,
P69,,,PROGRAM,,,,,,,,,,
P70,,,VCCO,,,1,,,,,3.30,,
P71,,,VCCO,,,2,,,,,3.30,,
P72,,,DONE,,,,,,,,,,
P73,,,GND,,,,,,,,,,
P74,,IOB,,UNUSED,,(2,4)***,,,,,,,
P75,,IOB,,UNUSED,,(2,4)***,,,,,,,
P76,D<0>,IOB,,BIDIR,LVTTL,(2,4)***,12,FAST,NONE**,IFD,,LOCATED,
P77,D<1>,IOB,IO_VREF_4,BIDIR,LVTTL,(2,4)***,12,FAST,NONE**,NONE,,LOCATED,
P78,D<2>,IOB,,BIDIR,LVTTL,(2,4)***,12,FAST,NONE**,NONE,,LOCATED,
P79,D<3>,IOB,IO_VREF_4,BIDIR,LVTTL,(2,4)***,12,FAST,NONE**,NONE,,LOCATED,
P80,D<4>,IOB,,BIDIR,LVTTL,(2,4)***,12,FAST,NONE**,NONE,,LOCATED,
P81,,,GND,,,,,,,,,,
P82,,,VCCINT,,,,,,,,2.5,,
P83,D<5>,IOB,,BIDIR,LVTTL,(2,4)***,12,FAST,NONE**,NONE,,LOCATED,
P84,D<6>,IOB,,BIDIR,LVTTL,(2,4)***,12,FAST,NONE**,NONE,,LOCATED,
P85,D<7>,IOB,IO_VREF_4,BIDIR,LVTTL,(2,4)***,12,FAST,NONE**,NONE,,LOCATED,
P86,RDn,IOB,,INPUT,LVTTL,(2,4)***,,,,NONE,,LOCATED,
P87,A<1>,IOB,,INPUT,LVTTL,(2,4)***,,,,NONE,,LOCATED,
P88,,GCLKIOB,GCK0,UNUSED,,(2,4)***,,,,,,,
P89,,,GND,,,,,,,,,,
P90,,,VCCO,,,2,,,,,3.30,,
P91,,GCLKIOB,GCK1,UNUSED,,(2,5)***,,,,,,,
P92,,,VCCINT,,,,,,,,2.5,,
P93,A<5>,IOB,,INPUT,LVTTL,(2,5)***,,,,NONE,,LOCATED,
P94,A<4>,IOB,IO_VREF_5,INPUT,LVTTL,(2,5)***,,,,NONE,,LOCATED,
P95,A<3>,IOB,,INPUT,LVTTL,(2,5)***,,,,NONE,,LOCATED,
P96,A<2>,IOB,,INPUT,LVTTL,(2,5)***,,,,NONE,,LOCATED,
P97,,,VCCINT,,,,,,,,2.5,,
P98,,,GND,,,,,,,,,,
P99,A<0>,IOB,,INPUT,LVTTL,(2,5)***,,,,NONE,,LOCATED,
P100,WRn,IOB,IO_VREF_5,INPUT,LVTTL,(2,5)***,,,,NONE,,LOCATED,
P101,CSn,IOB,,INPUT,LVTTL,(2,5)***,,,,NONE,,LOCATED,
P102,RESET,IOB,IO_VREF_5,INPUT,LVTTL,(2,5)***,,,,NONE,,LOCATED,
P103,INTn,IOB,,OUTPUT,LVTTL,(2,5)***,12,FAST,NONE**,,,LOCATED,
P106,,,M2,,,,,,,,,,
P107,,,VCCO,,,2,,,,,3.30,,
P108,,,VCCO,,,3,,,,,3.30,,
P109,,,M0,,,,,,,,,,
P110,,,GND,,,,,,,,,,
P111,,,M1,,,,,,,,,,
P112,PA<5>,IOB,,INPUT,LVTTL,(3,6)***,,,,NONE,,LOCATED,
P113,PA<6>,IOB,,INPUT,LVTTL,(3,6)***,,,,NONE,,LOCATED,
P114,PA<7>,IOB,,INPUT,LVTTL,(3,6)***,,,,NONE,,LOCATED,
P115,,IOB,IO_VREF_6,UNUSED,,(3,6)***,,,,,,,
P116,,IOB,,UNUSED,,(3,6)***,,,,,,,
P117,,IOB,IO_VREF_6,UNUSED,,(3,6)***,,,,,,,
P118,,IOB,,UNUSED,,(3,6)***,,,,,,,
P119,,,GND,,,,,,,,,,
P120,,IOB,,UNUSED,,(3,6)***,,,,,,,
P121,,IOB,,UNUSED,,(3,6)***,,,,,,,
P122,,IOB,IO_VREF_6,UNUSED,,(3,6)***,,,,,,,
P123,,IOB,,UNUSED,,(3,6)***,,,,,,,
P124,,IOB,,UNUSED,,(3,6)***,,,,,,,
P125,,,VCCINT,,,,,,,,2.5,,
P126,,PCIIOB,IO_TRDY,UNUSED,,(3,6)***,,,,,,,
P127,,,VCCO,,,3,,,,,3.30,,
P128,,,GND,,,,,,,,,,
P129,,PCIIOB,IO_IRDY,UNUSED,,(3,7)***,,,,,,,
P130,,IOB,,UNUSED,,(3,7)***,,,,,,,
P131,,IOB,,UNUSED,,(3,7)***,,,,,,,
P132,,IOB,IO_VREF_7,UNUSED,,(3,7)***,,,,,,,
P133,,IOB,,UNUSED,,(3,7)***,,,,,,,
P134,,IOB,,UNUSED,,(3,7)***,,,,,,,
P135,,,GND,,,,,,,,,,
P136,LED<1>,IOB,,OUTPUT,LVTTL,(3,7)***,24,SLOW,NONE**,,,LOCATED,
P137,LED<2>,IOB,IO_VREF_7,OUTPUT,LVTTL,(3,7)***,24,SLOW,NONE**,,,LOCATED,
P138,LED<3>,IOB,,OUTPUT,LVTTL,(3,7)***,24,SLOW,NONE**,,,LOCATED,
P139,,IOB,IO_VREF_7,UNUSED,,(3,7)***,,,,,,,
P140,,IOB,,UNUSED,,(3,7)***,,,,,,,
P141,Test,IOB,,OUTPUT,LVTTL,(3,7)***,12,SLOW,NONE**,,,LOCATED,
P142,,,TMS,,,,,,,,,,
P143,,,GND,,,,,,,,,,
P144,,,VCCO,,,3,,,,,3.30,,

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,

* Default value.
** This default Pullup/Pulldown value can be overridden in Bitgen.
*** In some smaller packages, the VCCO bank number of a pin may trail
     the VREF bank number (VCCO,VREF).

